Transcript	Gene
uc004daq.2	ACOT9
uc004dar.2	ACOT9
uc004das.2	ACOT9
uc004dat.1	ACOT9
uc011mjt.1	ACOT9
uc002jqe.2	ACOX1
uc002jqf.2	ACOX1
uc010wsq.1	ACOX1
uc010wsr.1	ACOX1
uc003dkl.2	ACOX2
uc003glc.3	ACOX3
uc003gld.3	ACOX3
uc003gle.1	ACOX3
uc010idk.2	ACOX3
uc002tgr.3	ACOXL
uc010fkc.2	ACOXL
uc010yxk.1	ACOXL
uc002qwd.2	ACP1
uc002qwe.3	ACP1
uc002qwf.2	ACP1
uc002qwg.2	ACP1
uc002qwh.2	ACP1
uc001nei.2	ACP2
uc009ylj.2	ACP2
uc009ylk.2	ACP2
uc010rhe.1	ACP2
uc010rhf.1	ACP2
uc010rhg.1	ACP2
uc010rhh.1	ACP2
uc010rhi.1	ACP2
uc010rhj.1	ACP2
uc002msg.3	ACP5
uc002msh.3	ACP5
uc002msi.3	ACP5
uc002msj.3	ACP5
uc010dye.1	ACP5
uc001epr.2	ACP6
uc009wjj.1	ACP6
uc003etu.2	PXYLP1
uc003etv.2	PXYLP1
uc011bna.1	PXYLP1
uc011bnb.1	PXYLP1
uc003eon.3	ACPP
uc003eop.3	ACPP
uc010htp.2	ACPP
uc002pta.1	ACPT
uc001qpt.1	ACRBP
uc001qpu.1	ACRBP
uc010sfg.1	ACRBP
uc004eae.2	ACRC
uc001qck.2	ACRV1
uc001qcl.2	ACRV1
uc001qcm.2	ACRV1
uc001qcn.2	ACRV1
uc001qco.2	ACRV1
uc001qcp.2	ACRV1
uc001qcq.2	ACRV1
uc001qcr.2	ACRV1
uc001qcs.2	ACRV1
uc003bnh.3	ACR
uc010hbh.1	ACR
uc002bdh.2	ACSBG1
uc010umw.1	ACSBG1
uc010umx.1	ACSBG1
uc010umy.1	ACSBG1
uc002mee.1	ACSBG2
uc002mef.1	ACSBG2
uc002meg.1	ACSBG2
uc002meh.1	ACSBG2
uc002mei.1	ACSBG2
uc010xiz.1	ACSBG2
uc002iqu.2	ACSF2
uc010dbt.1	ACSF2
uc010wml.1	ACSF2
uc010wmm.1	ACSF2
uc010wmn.1	ACSF2
uc010wmo.1	ACSF2
uc002fmp.2	ACSF3
uc002fmq.1	ACSF3
uc002fmr.1	ACSF3
uc010cig.1	ACSF3
uc010cih.1	ACSF3
uc010cii.1	ACSF3
uc003iws.1	ACSL1
uc003iwt.1	ACSL1
uc003iwu.1	ACSL1
uc003iwv.1	ACSL1
uc003iww.2	ACSL1
uc010ise.1	ACSL1
uc011ckm.1	ACSL1
uc011ckn.1	ACSL1
uc002vni.2	ACSL3
uc002vnj.2	ACSL3
uc002vnk.2	ACSL3
uc004eoi.2	ACSL4
uc004eoj.2	ACSL4
uc004eok.2	ACSL4
uc010npp.1	ACSL4
uc001kzs.2	ACSL5
uc001kzt.2	ACSL5
uc001kzu.2	ACSL5
uc009xxz.2	ACSL5
uc010qrj.1	ACSL5
uc003kvv.1	ACSL6
uc003kvw.1	ACSL6
uc003kvx.1	ACSL6
uc003kvy.1	ACSL6
uc003kvz.1	ACSL6
uc003kwa.1	ACSL6
uc003kwb.2	ACSL6
uc003kwc.1	ACSL6
uc003kwd.1	ACSL6
uc010jdn.1	ACSL6
uc010jdo.1	ACSL6
uc010jdp.1	ACSL6
uc002dhm.1	ACSM1
uc002dhn.1	ACSM1
uc010bwg.1	ACSM1
uc002dhf.3	ACSM2A
uc002dhg.3	ACSM2A
uc002dhh.3	ACSM2A
uc010bwd.1	ACSM2A
uc010bwe.2	ACSM2A
uc010vax.1	ACSM2A
uc010vay.1	ACSM2A
uc002dhj.3	ACSM2B
uc002dhk.3	ACSM2B
uc010bwf.1	ACSM2B
uc002dhq.2	ACSM3
uc002dhr.2	ACSM3
uc010vba.1	ACSM3
uc001qsx.1	ACSM4
uc002dhd.1	ACSM5
uc002dhe.2	ACSM5
uc002wua.2	ACSS1
uc002wub.2	ACSS1
uc002wuc.2	ACSS1
uc002wud.1	ACSS1
uc010gdc.2	ACSS1
uc002xbc.2	ACSS2
uc002xbd.2	ACSS2
uc002xbe.2	ACSS2
uc002xbf.2	ACSS2
uc010gey.2	ACSS2
uc010zum.1	ACSS2
